set 	title 'Candlesticks' font ',18'
set 	terminal wxt size 1300,600
set style line 5 lt rgb 'cyan' lw 5 pt 6
set style fill empty
plot '-' with financebars, '-' lw 1 lc rgb 'blue' with lines, '-' lw 1 lc rgb 'orange' with lines, '-' lw 1 lc rgb 'green' with lines
1584561600000 -1.9885045466877338 -1.9296431765914415 -1.9914306643571225 -1.9597048600775024
1584576000000 -1.9611253148617938 -1.9372477759766606 -1.9725621800527398 -1.9393318336951906
1584590400000 -1.9393318336951906 -1.8553384508709263 -1.9400274858971578 -1.8740547119548852
1584604800000 -1.8753584931043688 -1.838222343638396 -1.8918008234082815 -1.8740547119548852
1584619200000 -1.8740547119548852 -1.8369660620661343 -1.88321707971689 -1.8611095473628483
1584633600000 -1.8572584514607506 -1.7743125556243344 -1.868856519613022 -1.8030226615067657
1584648000000 -1.802416049416584 -1.7867719277170158 -1.86175284104859 -1.8489649429988342
1584662400000 -1.8489649429988342 -1.7957674906255938 -1.8489649429988342 -1.8313322443478781
1584676800000 -1.8325814637483102 -1.7147984280919266 -1.838222343638396 -1.7159101569446171
1584691200000 -1.7153541380256496 -1.6803970013745944 -1.7760829898430475 -1.758518135448253
1584705600000 -1.7573580425107227 -1.7321706778163974 -1.8257299887992084 -1.767847649181742
1584720000000 -1.7649228152744953 -1.7372712839439852 -1.863685208799644 -1.863685208799644
1584734400000 -1.8611095473628483 -1.8048447087767103 -1.9393318336951906 -1.8464268705703633
1584748800000 -1.8451602459551701 -1.802416049416584 -1.8662675214031166 -1.8401097301691016
1584763200000 -1.8407396514497736 -1.8263509139976741 -1.8878299379787886 -1.8662675214031166
1584777600000 -1.870802676568508 -1.864975531559314 -1.9372477759766606 -1.8792800667575502
1584792000000 -1.8799351601317804 -1.8464268705703633 -1.8951219822232084 -1.8566180415765514
1584806400000 -1.8553384508709263 -1.8483298207164494 -1.9085180298382507 -1.8721022219105936
1584820800000 -1.8727526284375868 -1.8195418502405067 -1.8891518152367044 -1.8773173575897015
1584835200000 -1.8812466357295912 -1.8257299887992084 -1.8898134097034431 -1.8269722249837996
1584849600000 -1.8251094489096091 -1.820158943749753 -1.854699269001929 -1.8445275347667107
1584864000000 -1.8457933577205405 -1.8413699697813894 -1.8779711660471203 -1.874706390048981
1584878400000 -1.8727526284375868 -1.774902352161632 -1.9268921432195514 -1.863685208799644
1584892800000 -1.86175284104859 -1.8566180415765514 -1.9105430052180221 -1.9031380572114442
1584907200000 -1.907843948248857 -1.864975531559314 -1.942117350816617 -1.9275791923705898
1584921600000 -1.9296431765914415 -1.8779711660471203 -1.9575779539229954 -1.8971199848858813
1584936000000 -1.8957875396521027 -1.8792800667575502 -1.9112189092653828 -1.9085180298382507
1584950400000 -1.9071703207393829 -1.900458886151396 -1.9358608132023118 -1.9220959709560583
1584964800000 -1.9220959709560583 -1.8146187633741377 -1.9220959709560583 -1.876663976318499
1584979200000 -1.874706390048981 -1.8426317996018116 -1.876663976318499 -1.864975531559314
