open,high,low,close
27395,27724,26578,26907
26907,28390,26827,27972
27972,28472,27124,27717
27717,28438,27303,28105
28107,28868,26601,27250
27250,28750,27105,28295
28295,28374,27000,27454
27454,27787,27156,27462
27462,28194,27417,27968
27968,28023,26508,27124
27124,27520,26631,27261
27261,28650,27240,28348
28348,29184,27686,28028
28028,28656,27511,28465
28465,28819,28220,28452
28452,28530,27856,28171
28171,28500,27200,27800
27800,28444,27662,28165
28165,28775,27805,28170
28170,28182,27711,28033
28033,28100,27766,27906
27906,28154,27859,27938
27938,28530,27800,28323
28323,29770,28170,29637
29637,30550,29590,30200
30200,30486,29637,29888
29888,30595,29854,30373
30373,31000,29966,30466
30466,30595,30202,30295
30295,30549,30120,30304
30304,30316,29240,29430
29430,30485,29096,30380
30380,30413,28520,28797
28797,29088,28010,28243
28243,28374,27125,27262
27262,27882,27140,27816
27816,27816,27311,27590
27590,28000,26942,27510
27510,28399,27192,28300
28300,30036,27235,28415
28415,29890,28378,29472
29472,29599,28891,29311
29311,29448,29031,29230
29230,29969,29079,29233
29233,29337,27666,28068
28068,28879,27872,28669
